Avg Pump Difference,Pressure Gradient (psi/ft) new,Fluid System,Avg Open Pressure,Avg Close Pressure
-0.93,0.593758088,0.0,3304.124833,2719.898438
-8.45,0.597058903,0.0,3301.199254,2934.885325
8.7,0.516873265,0.0,2774.40708,1589.948673
19.93,0.503327426,0.0,2969.6114016666666,2441.2489036666666
-4.34,0.565199923,0.0,2963.567911,2063.408619
0.54,0.561294383,0.0,2814.617107,2330.939138
66.52,0.493533848,0.0,2697.57656,1975.744979
3.39,0.56011052,0.0,2892.427934,2235.44895
13.78,0.540762005,0.0,2763.612613,1671.514259
56.25,0.523597524,0.0,2525.493936,1097.263009
65.88,0.519705507,0.0,2434.963424,1341.334898
75.57,0.519913983,0.0,2446.081885,2222.396037
43.66,0.532913717,0.0,2701.389381,1665.823009
66.63,0.523556027,0.0,2520.10571,2054.614706
80.58,0.477080938,2.0,2150.105179,995.6670335
92.39,0.472648666,2.0,2046.380523,1160.647734
42.91,0.526571643,0.0,2405.210273,890.668334
5.23,0.54173063,0.0,2565.229027,1148.561993
39.6,0.527903284,0.0,2318.39506,1121.475183
-1.48,0.548908027,0.0,2634.323963,1919.710804
1.96,0.548135939,0.0,2646.22424,2127.969411
24.21,0.538487713,0.0,2986.739204666667,2075.985764
-0.16,0.559608477,0.0,2889.833674,1210.401539
6.03,0.5319373543333333,1.0,3579.913367,2522.649904
-5.8,0.561943033,0.0,3136.370858,2252.870766
6.66,0.556785485,0.0,3087.582724,1618.171604
117.26,0.453435,2.0,2203.2,1934.1
43.38,0.480570763,1.0,2508.920546,2411.60484
-1.7,0.563370555,0.0,3194.020031,2330.800646
-2.26,0.563603648,0.0,3329.887249,2980.856098
-2.68,0.563778467,0.0,3327.534621,3149.661193
-1.31,0.496985182,1.0,2829.617284,2608.790227
22.29,0.560853528,1.0,2895.781701,2045.250442
2.02,0.495762089,1.0,2862.54691,2273.230704
-1.6,0.497091697,1.0,2900.09162,2282.820439
35.92,0.55510365,1.0,2679.837799,1772.547649
5.66,0.575120123,0.0,3182.050596,2574.363601
22.17,0.493067694,1.0,3005.113167,2282.086287
21.61,0.493275362,1.0,2971.983301,2142.592613
29.69,0.490279015,1.0,2845.631012,2129.566772
16.52,0.535544531,0.0,3141.92177,1392.658407
-2.68,0.566905359,0.0,3206.060085,3174.606856
26.71,0.531457553,0.0,3011.029665,1471.735591
34.34,0.528397333,0.0,3065.385433,1447.914205
-0.74,0.599503194,0.0,2699.694344,1388.785071
8.38,0.537465379,0.0,2720.173821,1779.642763
30.48,0.528623678,0.0,2698.622709,1642.325348
27.8,0.529695884,0.0,2602.510781,1705.952043
-3.75,0.528340498,1.0,3051.250581,2137.722016
-1.36,0.578119357,0.0,3144.844132,2918.588565
-2.27,0.578508146,0.0,3139.15703,2437.832928
7.49,0.574338272,0.0,3075.345848,2844.454398
11.63,0.543487253,0.0,3246.15202,3007.073721
-2.38,0.538644008,1.0,3406.343871,2644.198823
33.8,0.535104953,0.0,3009.242955,2425.083694
-1.2,0.5318339203333333,1.0,3441.765756,2362.696429
1.58,0.560550671,0.0,3545.666018,2878.360677
0.1,0.561165108,0.0,3545.595491,2777.491166
2.87,0.557316247,0.0,3411.085879,2875.21182
6.98,0.536369705,0.0,3278.712697,3035.88471
0.4,0.53899411,0.0,3167.211166,2956.639677
60.35,0.515083309,0.0,2842.276922,2334.65693
26.48,0.547561566,0.0,3391.551227,2901.845333
25.11,0.548127593,0.0,3385.92728,2977.532359
22.57,0.55091589,0.0,2793.152774,2435.512097
